StateVec,Action,Reward,SLAMet,CPUCost,Source
"[79, 841, 38, 6, 3]",0.0,1,YES,5.81,Original
"[84.98, 1.06225]",0.0,1,YES,84.98,RoundRobin
"[122.805, 1.023375]",1.0,0,NO,122.805,RoundRobin
"[136.245, 1.135375]",1.0,0,NO,136.245,RoundRobin
"[141.42, 0.883875]",2.0,0,NO,141.42,RoundRobin
"[144.315, 1.202625]",1.0,0,NO,144.315,FCFS
"[118.425, 0.986875]",1.0,0,NO,118.425,FCFS
"[73.35, 0.916875]",0.0,1,YES,73.35,XGBoost
"[63, 14283, 57, 5, 2]",0.0,1,YES,7.69,Original
"[85.71, 1.071375]",0.0,1,YES,85.71,XGBoost
"[89.8, 1.1225]",0.0,1,YES,89.8,FCFS
"[152.96, 0.956]",2.0,0,NO,152.96,XGBoost
"[66, 12654, 57, 36, 2]",0.0,1,YES,8.92,Original
"[154.18, 0.963625]",2.0,0,NO,154.18,RoundRobin
"[173.44, 1.084]",2.0,1,YES,173.44,XGBoost
"[92.49, 1.156125]",0.0,1,YES,92.49,RoundRobin
"[83.95, 1.049375]",0.0,1,YES,83.95,RoundRobin
"[51, 926, 11, 5, 2]",0.0,1,YES,7.98,Original
"[86.83, 1.085375]",0.0,1,YES,86.83,RoundRobin
"[86, 13883, 78, 27, 3]",1.0,1,YES,3.01,Original
"[75.15, 0.939375]",0.0,1,YES,75.15,XGBoost
"[83.58, 1.04475]",0.0,1,YES,83.58,FCFS
"[49, 10159, 90, 10, 1]",1.0,1,YES,1.85,Original
"[145.665, 1.213875]",1.0,0,NO,145.665,RoundRobin
"[137.97, 1.14975]",1.0,0,NO,137.97,FCFS
"[123.42, 1.0285]",1.0,0,NO,123.42,RoundRobin
"[120.57, 1.00475]",1.0,0,NO,120.57,RoundRobin
"[181.42, 1.133875]",2.0,1,YES,181.42,XGBoost
"[160.38, 1.002375]",2.0,0,NO,160.38,RoundRobin
"[189.2, 1.1825]",2.0,0,NO,189.2,RoundRobin
"[149.19, 1.24325]",1.0,0,NO,149.19,RoundRobin
"[149.98, 0.937375]",2.0,0,NO,149.98,RoundRobin
"[125.94, 1.0495]",1.0,0,NO,125.94,RoundRobin
"[89, 7201, 46, 2, 1]",1.0,1,YES,4.11,Original
"[179.22, 1.120125]",2.0,1,YES,179.22,XGBoost
"[33, 12664, 15, 36, 1]",0.0,1,YES,7.48,Original
"[125.46, 1.0455]",1.0,0,NO,125.46,RoundRobin
"[180.42, 1.127625]",2.0,0,NO,180.42,FCFS
"[133.29, 1.11075]",1.0,0,NO,133.29,RoundRobin
"[132.405, 1.103375]",1.0,0,NO,132.405,RoundRobin
"[190.08, 1.188]",2.0,0,NO,190.08,FCFS
"[86.3, 1.07875]",0.0,1,YES,86.3,XGBoost
"[97.09, 1.213625]",0.0,1,YES,97.09,XGBoost
