StateVec,Action,Reward,SLAMet,CPUCost,Source,NextState,Done
"[82.6, 1.0325, 0.0, 0.0, 0.0]",0.0,1,YES,82.6,XGBoost,"[82.6, 1.0325, 0.0, 0.0, 0.0]",False
"[143.925, 1.199375, 0.0, 0.0, 0.0]",1.0,0,NO,143.925,RoundRobin,"[143.925, 1.199375, 0.0, 0.0, 0.0]",False
"[162.82, 1.017625, 0.0, 0.0, 0.0]",2.0,0,NO,162.82,RoundRobin,"[162.82, 1.017625, 0.0, 0.0, 0.0]",False
"[96.57, 1.207125, 0.0, 0.0, 0.0]",0.0,1,YES,96.57,XGBoost,"[96.57, 1.207125, 0.0, 0.0, 0.0]",False
"[151.32, 0.94575, 0.0, 0.0, 0.0]",2.0,0,NO,151.32,XGBoost,"[151.32, 0.94575, 0.0, 0.0, 0.0]",False
"[196.66, 1.229125, 0.0, 0.0, 0.0]",2.0,1,YES,196.66,XGBoost,"[196.66, 1.229125, 0.0, 0.0, 0.0]",False
"[199.84, 1.249, 0.0, 0.0, 0.0]",2.0,0,NO,199.84,RoundRobin,"[199.84, 1.249, 0.0, 0.0, 0.0]",False
"[109.59, 0.91325, 0.0, 0.0, 0.0]",1.0,0,NO,109.59,RoundRobin,"[109.59, 0.91325, 0.0, 0.0, 0.0]",False
"[71.74, 0.89675, 0.0, 0.0, 0.0]",0.0,1,YES,71.74,FCFS,"[71.74, 0.89675, 0.0, 0.0, 0.0]",False
"[58, 15860, 17, 30, 3]",1.0,1,YES,1.07,Original,"[58, 15860, 17, 30, 3]",False
"[74.76, 0.9345, 0.0, 0.0, 0.0]",0.0,1,YES,74.76,XGBoost,"[74.76, 0.9345, 0.0, 0.0, 0.0]",False
"[180.08, 1.1255, 0.0, 0.0, 0.0]",2.0,0,NO,180.08,RoundRobin,"[180.08, 1.1255, 0.0, 0.0, 0.0]",False
"[132.285, 1.102375, 0.0, 0.0, 0.0]",1.0,0,NO,132.285,FCFS,"[132.285, 1.102375, 0.0, 0.0, 0.0]",False
"[71.4, 0.8925, 0.0, 0.0, 0.0]",0.0,1,YES,71.4,XGBoost,"[71.4, 0.8925, 0.0, 0.0, 0.0]",False
"[78.38, 0.97975, 0.0, 0.0, 0.0]",0.0,1,YES,78.38,XGBoost,"[78.38, 0.97975, 0.0, 0.0, 0.0]",False
"[121.95, 1.01625, 0.0, 0.0, 0.0]",1.0,0,NO,121.95,FCFS,"[121.95, 1.01625, 0.0, 0.0, 0.0]",False
"[84.96, 1.062, 0.0, 0.0, 0.0]",0.0,1,YES,84.96,XGBoost,"[84.96, 1.062, 0.0, 0.0, 0.0]",False
"[183.76, 1.1485, 0.0, 0.0, 0.0]",2.0,0,NO,183.76,RoundRobin,"[183.76, 1.1485, 0.0, 0.0, 0.0]",False
"[107.715, 0.897625, 0.0, 0.0, 0.0]",1.0,0,NO,107.715,RoundRobin,"[107.715, 0.897625, 0.0, 0.0, 0.0]",False
